doc_id,model,language,resource_level,doc_category,source_words,stale_reference,labse_published,labse_pooled,labse_aligned,prof_labse_published,prof_labse_pooled
cancer/after-a-colorectal-cancer-diagnosis,kimi-k2,korean,medium,cancer,1280,False,0.9646866321563721,0.9881147146224976,0.9100118279457092,0.9737603664398193,0.9919276237487793
cancer/after-a-colorectal-cancer-diagnosis,kimi-k2,haitian_creole,low,cancer,1280,False,0.9858098030090332,0.9920803904533386,0.9474088152249655,0.9840395450592041,0.9927952289581299
cancer/after-a-lung-cancer-diagnosis,gpt-5.1,spanish,high,cancer,1225,False,0.9877901077270508,0.99323570728302,0.9346288045247396,0.9935356974601746,0.994688093662262
cancer/after-a-lung-cancer-diagnosis,gpt-5.1,chinese_simplified,high,cancer,1225,False,0.9935716390609741,0.9947671294212341,0.9580957425965203,0.9939786791801453,0.9894667267799377
cancer/after-a-lung-cancer-diagnosis,gpt-5.1,vietnamese,high,cancer,1225,False,0.9910541772842407,0.9952530860900879,0.9619118173917135,0.9820159077644348,0.9920008778572083
cancer/after-a-lung-cancer-diagnosis,gpt-5.1,tagalog,low,cancer,1225,False,0.9910827875137329,0.9952186942100525,0.958398679892222,0.9897146821022034,0.9942801594734192
cancer/after-a-lung-cancer-diagnosis,gpt-5.1,russian,high,cancer,1225,False,0.9890377521514893,0.9949334859848022,0.9598856767018636,0.9634618759155273,0.9878990054130554
cancer/after-a-lung-cancer-diagnosis,gpt-5.1,korean,medium,cancer,1225,False,0.9881801605224609,0.9930951595306396,0.9390055934588114,0.9887184500694275,0.9942305088043213
cancer/after-a-lung-cancer-diagnosis,gpt-5.1,haitian_creole,low,cancer,1225,False,0.9885371923446655,0.9902897477149963,0.9192832046084933,0.9899834394454956,0.9938653707504272
cancer/after-a-lung-cancer-diagnosis,claude-opus-4.5,spanish,high,cancer,1225,False,0.9972193241119385,0.998921811580658,0.9929553733931648,0.9931052923202515,0.9955304861068726
cancer/after-a-lung-cancer-diagnosis,claude-opus-4.5,chinese_simplified,high,cancer,1225,False,0.9856011867523193,0.990601122379303,0.9199991822242737,0.9902724623680115,0.9911842942237854
cancer/after-a-lung-cancer-diagnosis,claude-opus-4.5,vietnamese,high,cancer,1225,False,0.9876373410224915,0.9792338609695435,0.8927831086847517,0.9791017174720764,0.9937710165977478
cancer/after-a-lung-cancer-diagnosis,claude-opus-4.5,tagalog,low,cancer,1225,False,0.9981702566146851,0.9966880083084106,0.974912510977851,0.9910321235656738,0.9950751662254333
cancer/after-a-lung-cancer-diagnosis,claude-opus-4.5,russian,high,cancer,1225,False,0.9933683276176453,0.9927942752838135,0.9500503738721212,0.9728401303291321,0.9878391623497009
cancer/after-a-lung-cancer-diagnosis,claude-opus-4.5,korean,medium,cancer,1225,False,0.9783533215522766,0.9881203770637512,0.8983459207746718,0.9866206645965576,0.9902596473693848
cancer/after-a-lung-cancer-diagnosis,claude-opus-4.5,haitian_creole,low,cancer,1225,False,0.9975073337554932,0.9981868863105774,0.9882277316517301,0.9895660281181335,0.9931829571723938
cancer/after-a-lung-cancer-diagnosis,gemini-3-pro,spanish,high,cancer,1225,False,0.9926037192344666,0.992301881313324,0.9351083834966024,0.9927743077278137,0.9938297867774963
cancer/after-a-lung-cancer-diagnosis,gemini-3-pro,chinese_simplified,high,cancer,1225,False,0.9832063317298889,0.993067741394043,0.9505580597453647,0.983784019947052,0.9900586009025574
cancer/after-a-lung-cancer-diagnosis,gemini-3-pro,vietnamese,high,cancer,1225,False,0.9939683675765991,0.9891446232795715,0.9422724710570441,0.9812853336334229,0.9911566376686096
cancer/after-a-lung-cancer-diagnosis,gemini-3-pro,tagalog,low,cancer,1225,False,0.992496132850647,0.9968942999839783,0.9836200939284431,0.987761914730072,0.9942091703414917
